id,dzcode,coord_long,coord_lat,pos_x,pos_y,cityname_chn,cityname_eng,cpop2000,cpop2010,upop2000,upop2010,cityclass
18,1405,112.83,35.5,7452,4699,晋城市,Jincheng,216.0984,227.92,73.879402,116.3315,4
19,1406,112.41,39.330002,7357,3854,朔州市,Shuozhou,145.1875,171.49001,51.6353,79.356003,3
20,1407,112.75,37.68,7424,4217,晋中市,Jinzhong,301.65359,324.9425,97.526299,143.3792,4
21,1408,110.96,35.040001,7125,4807,运城市,Yuncheng,481.23611,513.47937,105.0196,192.88429,4
22,1409,112.73,38.389999,7416,4060,忻州市,Xinzhou,293.83441,306.75,79.295303,116.1317,4
23,1410,111.5,36.080002,7216,4576,临汾市,Linfen,395.0845,431.66119,106.2335,176.026,4
24,1411,111.13,37.52,7148,4258,吕梁市,Luliang,338.228,372.70999,75.748703,141.3114,4
25,1501,111.73,40.830002,7238,3525,呼和浩特市,Hohhot,239.28951,286.66,122.2175,179.06821,4
26,1502,109.83,40.650002,6927,3567,包头市,Baotou,225.44389,265.04001,154.9075,210.6757,4
27,1503,106.83,39.650002,6428,3780,乌海市,Wuhai,42.755299,53.290001,39.771599,50.270401,3
28,1504,118.92,42.27,8383,3146,赤峰市,Chifeng,443.5737,434.12,119.2381,178.6902,4
29,1505,122.29,43.610001,8883,2797,通辽市,Tongliao,302.84189,313.92001,86.131897,126.7782,4
30,1506,109.83,39.700001,6927,3777,鄂尔多斯市,Erdos,136.97659,194.07001,59.570599,134.9254,4
31,1507,119.77,49.240002,8368,1621,呼伦贝尔市,Hulunbeir,268.72281,254.92999,175.02921,172.2795,4
32,1508,107.42,40.75,6533,3540,巴彦淖尔市,Bayannaoer,168.2662,166.99001,62.080101,80.834297,3
33,1509,113.12,40.98,7464,3486,乌兰察布市,Ulanchabu,228.44141,214.36,64.816597,90.593498,3
34,2101,123.43,41.799999,9115,3169,沈阳市,Shenyang,720.3717,810.62,506.60721,624.77002,6
35,2102,121.62,38.919998,8901,3837,大连市,Dalian,589.3692,669.03998,373.4718,497.914,5
36,2103,122.98,41.099998,9064,3331,鞍山市,Anshan,358.4039,364.59,220.46291,244.9061,4
37,2104,123.93,41.810001,9195,3155,抚顺市,Fushun,226.02901,213.81,161.6393,153.1774,4
38,2105,123.77,41.27,9186,3277,本溪市,Benxi,156.7408,170.95,107.0461,127.1246,4
39,2106,124.33,40.150002,9312,3509,丹东市,Dandong,239.0524,244.47,131.15649,147.5118,4
40,2107,121.13,41.099998,8765,3367,锦州市,Jinzhou,307.67349,312.64999,135.9268,149.6433,4
41,2108,122.28,40.650002,8963,3444,营口市,Yingkou,229.65401,242.85001,111.1229,142.9218,4
42,2109,121.67,42.02,8828,3156,阜新市,Fuxin,188.9774,181.92999,84.004799,95.471397,3
43,2110,123.16,41.25,9088,3295,辽阳市,Liaoyang,180.1207,185.88,92.456299,103.9033,4
44,2111,122.07,41.119999,8916,3345,盘锦市,Panjin,126.1753,139.25,73.462303,91.8461,3
45,2112,123.83,42.279999,9164,3055,铁岭市,Tieling,282.32199,271.76999,109.2582,114.5784,4
46,2113,120.41,41.549999,8637,3281,朝阳市,Chaoyang,319.48279,304.45999,105.9254,116.0438,4
47,2114,120.83,40.720001,8725,3456,葫芦岛市,Huludao,258.06851,263.35001,84.067101,108.9843,4
48,2201,125.32,43.900002,9345,2668,长春市,Changchun,713.54388,767.71002,355.27399,425.8161,5
49,2202,126.51,43.849998,9531,2650,吉林市,Jilin,448.54941,441.47,248.188,248.6066,4
50,2203,124.35,43.169998,9218,2850,四平市,Siping,329.2326,338.63,117.8496,140.7104,4
51,2204,125.13,42.880001,9350,2895,辽源市,Liaoyuan,126.7033,117.66,63.7001,59.602798,3
52,2205,125.93,41.73,9517,3125,通化市,Tonghua,230.7964,232.52,117.3654,123.8104,4
53,2206,126.44,41.91,9592,3073,白山市,Baishan,131.23621,129.66,97.926102,96.989899,3
54,2208,122.83,45.619999,8910,2350,白城市,Baicheng,202.5891,203.31,94.6241,98.350197,3
55,2301,126.68,45.75,9487,2235,哈尔滨市,Harbin,941.33588,1063.597,537.0174,650.18481,6
56,2302,123.95,47.330002,9027,1958,齐齐哈尔市,Qiqihar,541.9621,536.70032,223.8149,236.6355,4
57,2303,130.92,45.32,10142,2207,鸡西市,Jixi,194.6057,186.21609,123.7968,122.314,4
58,2304,130.27,47.330002,9955,1798,鹤岗市,Hegang,109.9079,105.8665,84.492699,81.087303,3
59,2305,131.14999,46.630001,10116,1920,双鸭山市,Shuangyashan,144.8349,146.2626,80.792603,89.081497,3
